#Data for Grunewald (3.5 m), Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.473192, longitude 13.225144
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max
2019-12-27,8.4,5,13,32.2,22,43,7.8,4,12
2019-12-26,9.5,6,12,43.4,37,49,3.9,2,5
2019-12-25,9.9,7,12,39,30,46,5,3,9
2019-12-24,10.7,7,15,40.6,23,48,8,5,20
2019-12-23,12.5,6,19,36,3,54,8.5,3,22
2019-12-22,19.1,17,22,5,1,16,25.4,17,33
2019-12-21,14.3,8,32,16,1,38,22,10,38
2019-12-20,24.5,17,32,7.4,1,20,27.8,16,43
2019-12-19,23.7,11,35,2.8,1,8,29.9,24,44
2019-12-18,7.8,4,14,37,1,70,17.7,4,53
2019-12-17,15.2,12,23,6.4,1,21,29.1,21,40
2019-12-16,8.4,6,12,20.3,1,63,28.3,5,46
2019-12-15,6.1,4,10,62.9,40,79,4.4,1,10
2019-12-14,10,5,21,37.5,5,68,11.4,4,23
2019-12-13,20.7,16,26,11.9,3,29,23.8,14,35
2019-12-12,15.4,11,19,16.2,1,33,22.3,11,35
2019-12-11,11.9,9,15,38,19,55,17.8,7,32
2019-12-10,11.5,9,14,44.1,1,62,12,2,50
2019-12-09,6.7,4,12,58.3,42,75,7,1,26
2019-12-08,7.3,4,15,54.4,43,67,3.8,2,7
2019-12-07,7.5,6,12,50,42,59,4.7,3,9
2019-12-06,21.8,13,31,19.7,2,41,25.1,12,32
2019-12-05,23.3,18,28,3.8,1,14,28.4,20,38
2019-12-04,15.5,12,21,23.9,1,41,16.3,8,39
2019-12-03,11.9,7,17,26.9,2,46,12.6,5,36
2019-12-02,14.2,7,28,40.4,19,57,7.2,5,11
2019-12-01,23.3,13,31,20.3,7,36,12.2,7,23
2019-11-30,10.8,7,18,35.5,16,49,7.6,3,12
2019-11-29,7.5,5,11,55.9,34,68,3.1,1,5
2019-11-28,6.9,4,13,42,18,57,8.1,4,15
