#Data for Steglitz-Schildhornstr., Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.463611, longitude 13.31825
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-01-08,14.6,10,24,39,16,65,0.4,0.3,0.6
2020-01-07,22.7,17,28,44.1,20,77,0.5,0.3,0.9
2020-01-06,17.5,14,22,44.6,18,70,0.4,0.2,0.7
2020-01-05,15.8,13,21,29.8,9,56,0.3,0.2,0.6
2020-01-04,11.2,6,14,19,6,34,0.2,0.2,0.3
2020-01-03,15.5,10,28,32.7,16,44,0.4,0.2,0.5
2020-01-02,32.4,26,48,57,31,80,0.5,0.3,0.9
2020-01-01,59.6,23,451,33.3,11,70,0.4,0.2,0.7
2019-12-31,22.3,8,58,29.8,16,47,0.3,0.2,0.3
2019-12-30,15.3,11,19,41.8,21,58,0.4,0.3,0.5
2019-12-29,15.2,10,21,37.8,29,58,0.3,0.2,0.4
2019-12-28,7.6,5,14,31,10,52,0.3,0.2,0.4
2019-12-27,10,7,14,24.9,11,48,0.3,0.2,0.3
2019-12-26,10.9,7,15,19.2,7,29,0.3,0.2,0.4
2019-12-25,11,8,15,19.3,7,37,0.3,0.2,0.4
2019-12-24,13.5,8,17,30.4,10,47,0.3,0.2,0.5
2019-12-23,14.9,8,20,34.3,21,52,0.3,0.2,0.5
2019-12-22,22.3,19,25,39.9,26,56,0.5,0.3,0.7
2019-12-21,19,10,38,49.9,21,74,0.5,0.2,0.8
2019-12-20,30.8,24,38,57.3,22,83,0.7,0.3,1
2019-12-19,30.6,13,42,49.8,29,63,0.6,0.3,0.9
2019-12-18,13.8,7,23,55.5,20,109,0.5,0.2,0.9
2019-12-17,21.6,14,29,56.5,38,80,0.5,0.3,0.8
2019-12-16,12.8,8,18,61.5,15,90,0.5,0.2,0.9
