#Data for Habichtstraße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.59235000, longitude 10.05372400
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-01-23,9,7,14,15.3,12,21,61.7,14,101,0.4,0.1,0.7
2020-01-22,17.9,10,25,23.9,15,32,46.4,14,75,0.3,0.1,0.6
2020-01-21,20.8,14,25,31.7,28,34,50.7,24,84,0.4,0.3,0.8
2020-01-20,10.8,9,13,25.4,20,28,62.7,26,92,0.5,0.2,0.8
2020-01-19,8.2,7,9,13.1,12,18,38.4,18,82,0.3,0.1,0.7
2020-01-18,14.2,10,17,19.8,13,24,31.3,5,50,0.3,0.1,0.5
2020-01-17,14,12,16,21.6,19,24,63.9,23,108,0.5,0.2,0.9
2020-01-16,13.7,9,16,18.6,11,23,66.5,13,110,0.5,0.1,0.9
2020-01-15,8.3,8,9,9.2,8,11,48.6,10,96,0.3,0.1,0.5
2020-01-14,10.8,9,12,15,10,19,45.3,14,88,0.3,0.2,0.6
2020-01-13,11,10,12,14.1,11,18,61.7,7,113,0.5,0.1,0.8
2020-01-12,12.1,11,13,15.8,13,17,28.3,17,49,0.3,0.2,0.4
2020-01-11,7.3,5,11,11.3,8,16,43.8,14,70,0.3,0.1,0.6
2020-01-10,10.9,7,13,14.8,10,20,41.3,18,97,0.3,0.1,0.6
2020-01-09,12.1,11,13,21,18,23,56.4,34,88,0.5,0.2,0.8
2020-01-08,15.2,12,20,22.2,18,29,50,21,87,0.4,0.1,0.6
2020-01-07,20.2,19,21,25.1,22,29,52.2,24,88,0.4,0.2,0.8
2020-01-06,20.3,16,23,26.5,23,29,56,13,107,0.4,0.2,0.9
2020-01-05,9.2,7,16,17.8,14,25,46.3,21,72,0.4,0.2,0.7
2020-01-04,7.9,6,11,13.7,13,14,25.3,11,44,0.2,0.1,0.3
2020-01-03,22,12,34,24.9,13,41,38,18,55,0.3,0.1,0.5
2020-01-02,42.1,36,85,51.4,44,104,46.1,28,63,0.6,0.3,0.9
2020-01-01,205.6,154,220,110.1,45,125,54.3,41,68,0.6,0.4,1.4
2019-12-31,16.5,13,29,21.9,14,35,31.6,15,58,0.3,0.1,0.5
2019-12-30,10.8,9,12,12.6,11,15,46.4,24,62,0.4,0.3,0.5
2019-12-29,12.1,12,13,14.9,14,17,43.5,24,70,0.5,0.3,0.9
2019-12-28,11,9,13,13.7,10,18,48.8,34,64,0.5,0.3,0.9
2019-12-27,11.4,9,12,13.5,11,15,29,16,61,0.3,0.1,0.7
2019-12-26,7.9,6,12,7.2,5,10,39.7,19,77,0.3,0.1,0.7
2019-12-25,12.7,10,14,13.2,10,15,39.8,27,48,0.3,0.3,0.5
2019-12-24,9.1,8,10,12.8,10,15,38.8,11,68,0.4,0.1,0.7
2019-12-23,14.5,11,17,16.4,12,19,39,16,73,0.3,0.1,0.5
2019-12-22,11,9,15,13.9,11,18,32.8,19,48,0.4,0.1,0.6
2019-12-21,12.2,10,17,14.1,11,23,53.8,36,79,0.4,0.2,0.6
2019-12-20,17.4,15,18,27.1,23,29,45.2,18,70,0.4,0.3,0.7
2019-12-19,17.3,15,19,26.1,22,29,48.5,28,68,0.4,0.2,0.6
2019-12-18,11.4,10,15,18.6,17,23,53.5,7,88,0.4,0.1,0.7
2019-12-17,18.4,15,21,24.5,23,27,52.8,21,80,0.5,0.2,0.8
2019-12-16,8.1,5,13,15.4,11,21,63.7,17,99,0.5,0.1,0.8
