#Data for Kieler Straße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.56437000, longitude 9.94461600
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,no2,no2_min,no2_max
2019-11-21,19.3,16,23,39.4,29,52
2019-11-20,16.4,9,22,66.4,21,90
2019-11-19,12.8,7,21,54.2,22,84
2019-11-18,20,18,23,41.3,11,63
2019-11-17,18.8,18,21,40.7,23,55
2019-11-16,24.4,22,26,43,26,69
2019-11-15,18.2,16,22,27.3,10,41
2019-11-14,15.1,12,16,43.7,30,69
2019-11-13,9.9,9,11,56,23,75
2019-11-12,15.3,12,19,59.3,31,82
2019-11-11,20,19,21,47.3,33,59
2019-11-10,20.3,19,21,48,34,65
2019-11-09,17.9,17,20,47.4,33,63
2019-11-08,15.5,14,17,63.9,27,98
2019-11-07,11.9,9,13,42.8,29,67
2019-11-06,8.5,6,13,49.3,17,71
2019-11-05,16.5,14,18,48.5,24,76
2019-11-04,9.5,7,13,53.2,19,85
2019-11-03,7.8,6,10,51,39,66
2019-11-02,20,11,27,53.2,24,92
2019-11-01,22.3,19,27,46.5,30,60
2019-10-31,21.6,18,24,52.8,42,69
2019-10-30,14.1,11,17,92,53,140
2019-10-29,8.4,6,10,67.1,31,116
2019-10-28,4.4,4,5,53,11,87
2019-10-27,5.2,4,6,21.3,5,44
2019-10-26,7.8,6,9,37.6,22,67
2019-10-25,20.7,10,34,54.5,19,81
2019-10-24,28,20,34,43.2,20,66
2019-10-23,17.7,14,20,42.8,25,68
2019-10-22,13.4,13,14,56.1,26,79
2019-10-21,9.2,6,12,40.6,7,71
2019-10-20,10.9,7,13,50.3,19,79
2019-10-19,6.9,6,8,50.5,23,74
2019-10-18,9.9,8,11,52.4,26,67
2019-10-17,10.7,9,13,57.1,27,85
2019-10-16,18.5,15,21,54.5,23,84
2019-10-15,11.1,8,18,57.8,11,102
2019-10-14,10,8,12,39.9,12,79
2019-10-13,8.4,5,12,43.5,21,66
2019-10-12,7,5,9,40.8,13,60
2019-10-11,8.7,8,10,44.5,22,80
2019-10-10,10.7,10,11,43.7,19,70
2019-10-09,11.4,11,12,49,22,77
2019-10-08,10.6,10,11,49.3,31,73
2019-10-07,7.6,5,10,54.4,27,83
2019-10-06,4.3,4,5,24.9,17,42
2019-10-05,6.8,4,10,23.1,11,42
2019-10-04,9,5,11,35.3,19,69
2019-10-03,3.4,3,5,22.1,8,53
2019-10-02,11.4,10,13,48.4,21,72
2019-10-01,6.1,4,9,49.2,21,72
