#Data for Finkenwerder West, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.53623700, longitude 9.84423100
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2019-11-21,18.9,16,23,32.6,20,42
2019-11-20,17.7,10,22,31.7,10,52
2019-11-19,10.7,4,22,12.9,6,20
2019-11-18,23.1,18,26,17.9,12,33
2019-11-17,16.9,15,22,24.3,11,38
2019-11-16,29.2,24,32,19.7,12,32
2019-11-15,22.1,17,28,28,18,39
2019-11-14,17.4,14,19,29.4,14,45
2019-11-13,6.1,4,11,18.3,11,36
2019-11-12,10.1,6,15,10.6,8,20
2019-11-11,17,16,18,18.1,11,33
2019-11-10,22.9,17,25,14,9,22
2019-11-09,17.5,13,23,18.7,14,28
2019-11-08,12.3,10,15,27.3,10,53
2019-11-07,12.1,8,16,24.4,12,40
2019-11-06,7.8,4,13,21.3,11,36
2019-11-05,14.9,13,18,23.4,15,44
2019-11-04,10.3,5,13,20.9,10,30
2019-11-03,3.7,3,5,16.2,4,48
2019-11-02,18.1,7,29,13.1,6,24
2019-11-01,28,26,31,29.3,21,43
2019-10-31,23,17,28,34.7,25,46
2019-10-30,10.9,9,14,39.8,25,71
2019-10-29,7.1,7,8,32.7,11,80
2019-10-28,10.1,9,11,12.4,2,21
2019-10-27,7.8,7,8,4,2,11
2019-10-26,10.7,9,12,6.3,4,10
2019-10-25,12,12,12,11.2,7,20
2019-10-24,18.5,17,21,17.7,10,30
2019-10-23,20.8,16,46,22.3,12,35
2019-10-22,18.6,15,21,14.3,7,23
2019-10-21,11.4,8,18,21.4,6,39
2019-10-20,13,9,15,15.5,5,47
2019-10-19,7.7,7,10,6.5,5,12
2019-10-18,15,10,19,7.6,5,11
2019-10-17,12.5,9,16,10.7,4,30
2019-10-16,26.6,20,31,16.2,7,31
2019-10-15,22.7,18,27,30.4,15,53
2019-10-14,16.8,16,18,22.7,2,58
2019-10-13,9.6,4,17,13.1,2,32
2019-10-12,7.2,4,11,5.8,2,9
2019-10-11,10.2,9,11,10.7,7,14
2019-10-10,13.8,9,18,11.5,7,17
2019-10-09,17.5,14,21,11.4,8,16
2019-10-08,12.3,10,14,11.3,8,18
2019-10-07,8.7,7,10,27.3,6,57
2019-10-06,5.2,4,7,25.9,6,54
2019-10-05,7.3,3,13,13.1,5,40
2019-10-04,11.2,5,15,21.1,7,39
2019-10-03,2.5,2,4,7.7,2,21
2019-10-02,6,5,7,11.1,5,27
2019-10-01,6.7,6,8,17.3,5,33
