#Data for Pavia Folperti, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.19468231, longitude 9.16464919
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2020-01-13,56,56,56,64,64,64,6,6,6,56,56,56,4,4,4
2020-01-12,48,48,48,56,56,56,22,22,22,65,65,65,17,17,17
2020-01-11,53,53,53,64,64,64,35,35,35,85,85,85,10,10,10
2020-01-10,57,57,57,77,77,77,13,13,13,73,73,73,8,8,8
2020-01-09,41,41,41,61,61,61,8,8,8,50,50,50,5,5,5
2020-01-08,36,36,36,54,54,54,12,12,12,49,49,49,2,2,2
2020-01-07,33,33,33,55,55,55,12,12,12,44,44,44,2,2,2
2020-01-06,49,49,49,57,57,57,18,18,18,40,40,40,2,2,2
2020-01-05,36,36,36,40,40,40,25,25,25,70,70,70,6,6,6
2020-01-04,42,42,42,51,51,51,34,34,34,62,62,62,12,12,12
2020-01-03,60,60,60,70,70,70,15,15,15,56,56,56,5,5,5
2020-01-02,70,70,70,76,76,76,24,24,24,64,64,64,7,7,7
2020-01-01,"-","-","-",84,84,84,34,34,34,61,61,61,8,8,8
2019-12-31,"-","-","-",63,63,63,24,24,24,51,51,51,4,4,4
2019-12-30,"-","-","-",53,53,53,42,42,42,42,42,42,2,2,2
2019-12-29,"-","-","-",60,60,60,25,25,25,42,42,42,4,4,4
2019-12-28,"-","-","-",59,59,59,14,14,14,64,64,64,7,7,7
2019-12-27,"-","-","-",50,50,50,12,12,12,56,56,56,6,6,6
2019-12-26,"-","-","-",29,29,29,31,31,31,53,53,53,4,4,4
2019-12-25,"-","-","-",23,23,23,44,44,44,61,61,61,6,6,6
2019-12-24,"-","-","-",15,15,15,43,43,43,57,57,57,10,10,10
2019-12-23,"-","-","-",3,3,3,56,56,56,70,70,70,5,5,5
2019-12-22,7,7,7,11,11,11,52,52,52,63,63,63,5,5,5
2019-12-21,18,18,18,14,14,14,23,23,23,45,45,45,5,5,5
2019-12-20,15,15,15,27,27,27,20,20,20,45,45,45,5,5,5
2019-12-19,20,20,20,37,37,37,2,2,2,54,54,54,6,6,6
2019-12-18,25,25,25,31,31,31,4,4,4,48,48,48,6,6,6
2019-12-17,28,28,28,32,32,32,4,4,4,54,54,54,5,5,5
2019-12-16,43,43,43,44,44,44,5,5,5,47,47,47,6,6,6
2019-12-15,38,38,38,40,40,40,6,6,6,51,51,51,5,5,5
2019-12-14,22,22,22,26,26,26,35,35,35,76,76,76,17,17,17
2019-12-13,27,27,27,29,29,29,30,30,30,62,62,62,5,5,5
2019-12-12,31,31,31,36,36,36,42,42,42,53,53,53,3,3,3
2019-12-11,44,44,44,48,48,48,19,19,19,66,66,66,7,7,7
2019-12-10,17,17,17,20,20,20,74,74,74,108,108,108,12,12,12
2019-12-09,63,63,63,75,75,75,36,36,36,54,54,54,12,12,12
2019-12-08,74,74,74,83,83,83,9,9,9,57,57,57,6,6,6
2019-12-07,59,59,59,69,69,69,19,19,19,64,64,64,9,9,9
2019-12-06,54,54,54,64,64,64,9,9,9,56,56,56,9,9,9
2019-12-05,38,38,38,45,45,45,17,17,17,61,61,61,6,6,6
2019-12-04,22,22,22,29,29,29,48,48,48,71,71,71,5,5,5
2019-12-03,12,12,12,16,16,16,37,37,37,43,43,43,3,3,3
2019-12-02,18,18,18,16,16,16,33,33,33,51,51,51,6,6,6
2019-12-01,26,26,26,30,30,30,25,25,25,34,34,34,2,2,2
2019-11-30,17,17,17,27,27,27,11,11,11,43,43,43,5,5,5
2019-11-29,19,19,19,36,36,36,6,6,6,47,47,47,4,4,4
2019-11-28,21,21,21,30,30,30,7,7,7,41,41,41,4,4,4
2019-11-27,22,22,22,34,34,34,6,6,6,42,42,42,4,4,4
2019-11-26,19,19,19,26,26,26,21,21,21,37,37,37,5,5,5
2019-11-25,10,10,10,13,13,13,32,32,32,53,53,53,5,5,5
2019-11-24,5,5,5,5,5,5,71,71,71,48,48,48,1,1,1
2019-11-23,7,7,7,13,13,13,64,64,64,18,18,18,2,2,2
2019-11-22,23,23,23,33,33,33,28,28,28,43,43,43,2,2,2
2019-11-21,22,22,22,27,27,27,23,23,23,39,39,39,3,3,3
2019-11-20,16,16,16,20,20,20,29,29,29,50,50,50,3,3,3
2019-11-19,12,12,12,11,11,11,46,46,46,62,62,62,2,2,2
2019-11-18,18,18,18,23,23,23,48,48,48,57,57,57,3,3,3
2019-11-17,10,10,10,9,9,9,55,55,55,39,39,39,2,2,2
2019-11-16,23,23,23,27,27,27,22,22,22,42,42,42,3,3,3
2019-11-15,9,9,9,13,13,13,43,43,43,41,41,41,6,6,6
2019-11-14,32,32,32,36,36,36,41,41,41,44,44,44,5,5,5
2019-11-13,11,11,11,14,14,14,45,45,45,70,70,70,21,21,21
2019-11-12,13,13,13,14,14,14,39,39,39,51,51,51,6,6,6
2019-11-11,23,23,23,21,21,21,19,19,19,54,54,54,5,5,5
2019-11-10,31,31,31,31,31,31,28,28,28,59,59,59,6,6,6
2019-11-09,20,20,20,22,22,22,45,45,45,62,62,62,6,6,6
2019-11-08,3,3,3,12,12,12,42,42,42,70,70,70,6,6,6
2019-11-07,19,19,19,18,18,18,26,26,26,54,54,54,4,4,4
2019-11-06,11,11,11,28,28,28,52,52,52,48,48,48,3,3,3
2019-11-05,22,22,22,26,26,26,29,29,29,41,41,41,6,6,6
2019-11-04,13,13,13,26,26,26,13,13,13,36,36,36,5,5,5
2019-11-03,16,16,16,18,18,18,26,26,26,29,29,29,2,2,2
2019-11-02,23,23,23,23,23,23,47,47,47,27,27,27,1,1,1
2019-11-01,19,19,19,25,25,25,35,35,35,27,27,27,2,2,2
2019-10-31,16,16,16,20,20,20,38,38,38,28,28,28,1,1,1
2019-10-30,24,24,24,32,32,32,29,29,29,27,27,27,1,1,1
2019-10-29,44,44,44,55,55,55,46,46,46,41,41,41,1,1,1
2019-10-28,28,28,28,37,37,37,53,53,53,51,51,51,5,5,5
2019-10-27,22,22,22,26,26,26,70,70,70,50,50,50,5,5,5
2019-10-26,25,25,25,21,21,21,51,51,51,58,58,58,4,4,4
2019-10-25,21,21,21,20,20,20,45,45,45,36,36,36,2,2,2
2019-10-24,29,29,29,36,36,36,51,51,51,36,36,36,1,1,1
2019-10-23,30,30,30,47,47,47,61,61,61,40,40,40,3,3,3
2019-10-22,22,22,22,28,28,28,57,57,57,42,42,42,3,3,3
2019-10-21,10,10,10,9,9,9,75,75,75,45,45,45,1,1,1
2019-10-20,19,19,19,22,22,22,71,71,71,23,23,23,2,2,2
2019-10-19,34,34,34,31,31,31,36,36,36,25,25,25,1,1,1
2019-10-18,6,6,6,17,17,17,67,67,67,45,45,45,1,1,1
2019-10-17,12,12,12,22,22,22,68,68,68,52,52,52,6,6,6
