#Data for Autostrada Sud km 103, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2020-04-02,"-","-","-","-","-","-",51,5,97,48,15,81
2020-04-01,13,13,13,17,17,17,47.5,12,83,44.5,16,73
2020-03-31,6,6,6,6,6,6,55.5,38,73,29.5,17,42
2020-03-30,6,6,6,9,9,9,46,46,46,25,25,25
2020-03-29,17,17,17,43,43,43,49.5,23,76,22.5,17,28
2020-03-28,17,17,17,36,36,36,53,12,94,20,11,29
2020-03-27,16,16,16,20,20,20,23.5,15,32,42.5,40,45
2020-03-26,15,15,15,19,19,19,29,17,41,53,42,64
2020-03-25,13,13,13,15,15,15,34.5,4,65,47.5,29,66
2020-03-24,10,10,10,14,14,14,68,68,68,30,30,30
2020-03-23,7,7,7,9,9,9,62.5,56,69,20,20,20
2020-03-22,19,19,19,22,22,22,69,69,69,11,11,11
2020-03-21,24,24,24,29,29,29,67,29,105,22.5,11,34
2020-03-20,19,19,19,23,23,23,50.5,3,98,47.5,31,64
2020-03-19,13,13,13,17,17,17,95,95,95,31,31,31
2020-03-18,17,17,17,22,22,22,46.5,7,86,35.5,31,40
2020-03-17,15,15,15,18,18,18,38,2,74,36,29,43
2020-03-16,7,7,7,9,9,9,1,1,1,35,35,35
2020-03-15,8,8,8,10,10,10,"-","-","-","-","-","-"
2020-03-14,3,3,3,4,4,4,49,42,56,30,28,32
2020-03-13,24,24,24,29,29,29,32.5,5,60,39,31,47
2020-03-12,35,35,35,42,42,42,33.5,1,66,41,35,47
2020-03-11,13,13,13,16,16,16,1,1,1,53,53,53
2020-03-10,8,8,8,12,12,12,1,1,1,55,55,55
2020-03-09,12,12,12,15,15,15,33,33,33,63,63,63
2020-03-08,3,3,3,5,5,5,39,39,39,22,22,22
2020-03-07,5,5,5,6,6,6,1,1,1,41,41,41
2020-03-06,9,9,9,13,13,13,23.5,17,30,46,35,57
2020-03-05,11,11,11,13,13,13,20.5,11,30,53,46,60
2020-03-04,5,5,5,7,7,7,68,48,88,21.5,12,31
2020-03-03,5,5,5,7,7,7,6.5,6,7,58,45,71
2020-03-02,15,15,15,19,19,19,11,11,11,32,32,32
2020-03-01,17,17,17,20,20,20,43.5,28,59,44,13,75
2020-02-29,10,10,10,14,14,14,32,8,56,56,53,59
2020-02-28,7,7,7,10,10,10,69,48,90,15.5,6,25
2020-02-27,7,7,7,10,10,10,41,28,54,54,45,63
2020-02-26,23,23,23,30,30,30,31,1,61,46.5,46,47
2020-02-25,63,63,63,74,74,74,17,17,17,35,35,35
2020-02-24,40,40,40,49,49,49,3,3,3,50,50,50
2020-02-23,20,20,20,24,24,24,28.5,3,54,41.5,25,58
2020-02-22,20,20,20,27,27,27,30.5,2,59,54.5,37,72
2020-02-21,13,13,13,17,17,17,26,5,47,54,52,56
2020-02-20,8,8,8,12,12,12,51,48,54,32.5,17,48
2020-02-19,6,6,6,12,12,12,13,13,13,47,47,47
2020-02-18,20,20,20,28,28,28,58,58,58,44,44,44
2020-02-17,31,31,31,37,37,37,4,1,7,63,51,75
2020-02-16,15,15,15,19,19,19,1,1,1,56,56,56
2020-02-15,9,9,9,11,11,11,10,10,10,56,56,56
2020-02-14,13,13,13,17,17,17,36,23,49,46.5,35,58
2020-02-13,10,10,10,14,14,14,46,28,64,34,22,46
2020-02-12,4,4,4,7,7,7,52,52,52,25,25,25
2020-02-11,"-","-","-","-","-","-",43,2,84,40,13,67
2020-02-10,45,45,45,53,53,53,6.5,2,11,67.5,66,69
2020-02-09,37,37,37,43,43,43,1,1,1,61,61,61
2020-02-08,20,20,20,26,26,26,19.5,1,38,56,43,69
2020-02-07,16,16,16,20,20,20,22,2,42,53,41,65
2020-02-06,8,8,8,12,12,12,59.5,53,66,24.5,17,32
2020-02-05,2,2,2,5,5,5,60.5,56,65,19,14,24
2020-02-04,23,23,23,29,29,29,1,1,1,49,49,49
2020-02-03,30,30,30,37,37,37,7,1,13,43.5,41,46
2020-02-02,23,23,23,30,30,30,8,1,15,43,41,45
2020-02-01,22,22,22,28,28,28,1,1,1,67,67,67
2020-01-31,17,17,17,23,23,23,1,1,1,62,62,62
2020-01-30,12,12,12,16,16,16,19,6,32,55.5,49,62
2020-01-29,10,10,10,15,15,15,1,1,1,44,44,44
2020-01-28,28,28,28,41,41,41,2,2,2,56,56,56
2020-01-27,24,24,24,36,36,36,7,1,13,48.5,44,53
2020-01-26,27,27,27,37,37,37,8,2,14,62,50,74
2020-01-25,26,26,26,36,36,36,17,17,17,57,57,57
2020-01-24,22,22,22,33,33,33,4,2,6,84,76,92
2020-01-23,19,19,19,29,29,29,5.5,2,9,84.5,76,93
2020-01-22,19,19,19,28,28,28,2,2,2,74,74,74
2020-01-21,13,13,13,20,20,20,2,2,2,69,69,69
2020-01-20,10,10,10,14,14,14,15,15,15,58,58,58
2020-01-19,6,6,6,9,9,9,39,39,39,70,70,70
2020-01-18,15,15,15,20,20,20,2,1,3,74.5,62,87
2020-01-17,22,22,22,27,27,27,4.5,1,8,73.5,59,88
2020-01-16,23,23,23,31,31,31,7,2,12,64.5,56,73
2020-01-15,22,22,22,28,28,28,9,9,9,80,80,80
2020-01-14,21,21,21,27,27,27,2,2,2,54,54,54
2020-01-13,21,21,21,28,28,28,9,9,9,85,85,85
2020-01-12,15,15,15,20,20,20,31,31,31,48,48,48
2020-01-11,22,22,22,27,27,27,11.5,2,21,59.5,56,63
2020-01-10,19,19,19,25,25,25,7.5,1,14,53,53,53
2020-01-09,20,20,20,27,27,27,8,2,14,66,58,74
2020-01-08,17,17,17,21,21,21,14,2,26,60.5,59,62
2020-01-07,18,18,18,26,26,26,11.5,1,22,51.5,50,53
2020-01-06,15,15,15,19,19,19,15,3,27,61,48,74
2020-01-05,8,8,8,12,12,12,58.5,43,74,39,11,67
2020-01-04,20,20,20,24,24,24,4.5,1,8,71,57,85
2020-01-03,18,18,18,24,24,24,4,2,6,61.5,60,63
2020-01-02,18,18,18,23,23,23,10,1,19,57.5,52,63
2020-01-01,29,29,29,34,34,34,8.5,2,15,68,58,78
2019-12-31,21,21,21,24,24,24,12,2,22,50,46,54
2019-12-30,22,22,22,28,28,28,14,14,14,71,71,71
2019-12-29,19,19,19,23,23,23,13.5,2,25,64.5,53,76
2019-12-28,22,22,22,27,27,27,2,2,2,60,60,60
2019-12-27,20,20,20,23,23,23,7.5,2,13,69.5,62,77
2019-12-26,10,10,10,12,12,12,30.5,22,39,57.5,32,83
2019-12-25,9,9,9,11,11,11,18,7,29,39.5,33,46
2019-12-24,8,8,8,10,10,10,11,9,13,44,42,46
2019-12-23,9,9,9,11,11,11,2,2,2,45,45,45
2019-12-22,10,10,10,13,13,13,1,1,1,45,45,45
2019-12-21,7,7,7,9,9,9,"-","-","-","-","-","-"
2019-12-20,16,16,16,21,21,21,1,1,1,45,45,45
2019-12-19,21,21,21,25,25,25,1.5,1,2,48,47,49
2019-12-18,30,30,30,35,35,35,2,2,2,61.5,59,64
2019-12-17,32,32,32,38,38,38,2,2,2,62,57,67
2019-12-16,29,29,29,33,33,33,2,2,2,72,64,80
2019-12-15,19,19,19,22,22,22,4,2,6,84.5,65,104
2019-12-14,17,17,17,20,20,20,2,2,2,59,59,59
2019-12-13,23,23,23,28,28,28,3,3,3,80,80,80
2019-12-12,22,22,22,31,31,31,3.5,2,5,71.5,61,82
2019-12-11,13,13,13,21,21,21,13,13,13,83,83,83
2019-12-10,10,10,10,16,16,16,39.5,1,78,27,6,48
2019-12-09,24,24,24,30,30,30,4.5,2,7,60,54,66
2019-12-08,21,21,21,27,27,27,13,13,13,84,84,84
2019-12-07,20,20,20,28,28,28,11.5,2,21,48.5,41,56
2019-12-06,16,16,16,27,27,27,6.5,2,11,59.5,54,65
2019-12-05,19,19,19,26,26,26,"-","-","-","-","-","-"
2019-12-04,"-","-","-","-","-","-",16,16,16,53,53,53
2019-12-03,13,13,13,15,15,15,35,35,35,23,23,23
2019-12-02,12,12,12,15,15,15,7.5,5,10,31.5,28,35
2019-12-01,13,13,13,16,16,16,1,1,1,33,33,33
2019-11-30,12,12,12,15,15,15,7,1,13,37.5,30,45
2019-11-29,11,11,11,15,15,15,2.5,2,3,25.5,23,28
2019-11-28,14,14,14,18,18,18,1.5,1,2,30,29,31
2019-11-26,"-","-","-","-","-","-",1,1,1,29,29,29
2019-11-25,"-","-","-","-","-","-",2,1,3,34.5,29,40
2019-11-24,12,12,12,16,16,16,4,4,4,27,27,27
2019-11-23,16,16,16,18,18,18,3,3,3,37,37,37
2019-11-22,18,18,18,21,21,21,"-","-","-","-","-","-"
2019-11-21,16,16,16,20,20,20,"-","-","-","-","-","-"
2019-11-20,12,12,12,14,14,14,7,7,7,40,40,40
2019-11-18,"-","-","-","-","-","-",6.5,1,12,48,44,52
2019-11-17,6,6,6,9,9,9,9,1,17,42.5,38,47
2019-11-15,10,10,10,12,12,12,1.7,1,2,57.3,55,60
2019-11-14,10,10,10,11,11,11,2,2,2,54.5,48,61
2019-11-13,4,4,4,5,5,5,5,5,5,"-","-","-"
2019-11-12,9,9,9,11,11,11,"-","-","-","-","-","-"
