#Data for Varese Copelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.8169745, longitude 8.82024911
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2020-01-11,31,31,31,41,41,41,94,94,94,1.4,1.4,1.4
2020-01-10,27,27,27,36,36,36,79,79,79,1.3,1.3,1.3
2020-01-09,30,30,30,38,38,38,118,118,118,1.5,1.5,1.5
2020-01-08,46,46,46,53,53,53,97,97,97,1.5,1.5,1.5
2020-01-07,35,35,35,42,42,42,75,75,75,1.3,1.3,1.3
2020-01-06,36,36,36,40,40,40,67,67,67,1.5,1.5,1.5
2020-01-05,30,30,30,34,34,34,92,92,92,1.5,1.5,1.5
2020-01-04,28,28,28,35,35,35,101,101,101,1.6,1.6,1.6
2020-01-03,31,31,31,37,37,37,84,84,84,1.6,1.6,1.6
2020-01-02,33,33,33,39,39,39,73,73,73,1.4,1.4,1.4
2020-01-01,36,36,36,39,39,39,82,82,82,1.5,1.5,1.5
2019-12-31,30,30,30,37,37,37,72,72,72,1.4,1.4,1.4
2019-12-30,47,47,47,51,51,51,50,50,50,1.2,1.2,1.2
2019-12-29,37,37,37,44,44,44,55,55,55,1.3,1.3,1.3
2019-12-28,33,33,33,37,37,37,70,70,70,1.3,1.3,1.3
2019-12-27,26,26,26,30,30,30,81,81,81,1.3,1.3,1.3
2019-12-26,18,18,18,21,21,21,67,67,67,1,1,1
2019-12-25,10,10,10,10,10,10,59,59,59,0.8,0.8,0.8
2019-12-24,12,12,12,14,14,14,68,68,68,0.8,0.8,0.8
2019-12-23,12,12,12,12,12,12,69,69,69,0.7,0.7,0.7
2019-12-22,8,8,8,9,9,9,58,58,58,1,1,1
2019-12-21,9,9,9,10,10,10,57,57,57,1,1,1
2019-12-20,8,8,8,18,18,18,51,51,51,0.9,0.9,0.9
2019-12-19,12,12,12,16,16,16,56,56,56,1.3,1.3,1.3
2019-12-18,14,14,14,17,17,17,53,53,53,1.3,1.3,1.3
2019-12-17,18,18,18,20,20,20,57,57,57,1,1,1
2019-12-16,25,25,25,29,29,29,62,62,62,1.1,1.1,1.1
2019-12-15,35,35,35,36,36,36,63,63,63,1.1,1.1,1.1
2019-12-14,12,12,12,13,13,13,94,94,94,1,1,1
2019-12-13,19,19,19,21,21,21,69,69,69,0.8,0.8,0.8
2019-12-12,32,32,32,35,35,35,73,73,73,1,1,1
2019-12-11,21,21,21,28,28,28,76,76,76,0.9,0.9,0.9
2019-12-10,19,19,19,18,18,18,94,94,94,0.9,0.9,0.9
2019-12-09,39,39,39,46,46,46,76,76,76,1.1,1.1,1.1
2019-12-08,37,37,37,43,43,43,64,64,64,1.3,1.3,1.3
2019-12-07,31,31,31,34,34,34,96,96,96,1.2,1.2,1.2
2019-12-06,31,31,31,36,36,36,69,69,69,1.1,1.1,1.1
2019-12-05,25,25,25,32,32,32,78,78,78,1,1,1
2019-12-04,26,26,26,28,28,28,59,59,59,0.8,0.8,0.8
2019-12-03,19,19,19,21,21,21,59,59,59,1.1,1.1,1.1
2019-12-02,14,14,14,17,17,17,63,63,63,1.2,1.2,1.2
2019-12-01,22,22,22,22,22,22,51,51,51,1,1,1
2019-11-30,19,19,19,22,22,22,80,80,80,1,1,1
2019-11-29,13,13,13,16,16,16,66,66,66,1,1,1
2019-11-28,15,15,15,19,19,19,54,54,54,0.9,0.9,0.9
2019-11-27,14,14,14,14,14,14,56,56,56,1.1,1.1,1.1
2019-11-26,12,12,12,25,25,25,58,58,58,1.1,1.1,1.1
2019-11-25,7,7,7,11,11,11,70,70,70,0.7,0.7,0.7
2019-11-24,2,2,2,6,6,6,45,45,45,0.6,0.6,0.6
2019-11-23,10,10,10,10,10,10,62,62,62,0.7,0.7,0.7
2019-11-22,14,14,14,12,12,12,62,62,62,0.8,0.8,0.8
2019-11-21,25,25,25,28,28,28,62,62,62,0.8,0.8,0.8
2019-11-20,10,10,10,14,14,14,45,45,45,0.6,0.6,0.6
2019-11-19,6,6,6,4,4,4,55,55,55,0.5,0.5,0.5
2019-11-18,9,9,9,10,10,10,56,56,56,0.6,0.6,0.6
2019-11-17,4,4,4,10,10,10,51,51,51,0.6,0.6,0.6
2019-11-16,13,13,13,15,15,15,46,46,46,0.6,0.6,0.6
2019-11-15,12,12,12,15,15,15,53,53,53,0.7,0.7,0.7
2019-11-14,11,11,11,16,16,16,63,63,63,0.6,0.6,0.6
