#Data for Autostrada Sud km 107, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2020-01-03,19,19,19,25,25,25,"-","-","-","-","-","-"
2020-01-02,17,17,17,22,22,22,9,3,15,68,49,87
2020-01-01,26,26,26,31,31,31,10.5,3,18,66,59,73
2019-12-31,19,19,19,24,24,24,18,18,18,51,51,51
2019-12-30,24,24,24,28,28,28,9,3,15,63.5,55,72
2019-12-29,16,16,16,20,20,20,14,5,23,61.5,48,75
2019-12-28,21,21,21,24,24,24,8.5,2,15,66.5,63,70
2019-12-27,14,14,14,17,17,17,3,3,3,55,55,55
2019-12-26,7,7,7,9,9,9,19.5,13,26,65.5,49,82
2019-12-25,8,8,8,9,9,9,24,24,24,26,26,26
2019-12-24,7,7,7,8,8,8,17,17,17,54,54,54
2019-12-23,8,8,8,9,9,9,7,2,12,48.5,40,57
2019-12-22,10,10,10,11,11,11,2,2,2,45,45,45
2019-12-21,7,7,7,9,9,9,20,13,27,47,45,49
2019-12-20,15,15,15,18,18,18,3.5,3,4,45,41,49
2019-12-19,20,20,20,23,23,23,5,4,6,48,45,51
2019-12-18,31,31,31,34,34,34,3,3,3,57,57,57
2019-12-17,32,32,32,38,38,38,6,4,8,57,57,57
2019-12-16,29,29,29,32,32,32,5,5,5,79,79,79
2019-12-15,19,19,19,22,22,22,5.5,3,8,78,66,90
2019-12-14,16,16,16,18,18,18,11,11,11,57,57,57
2019-12-13,22,22,22,28,28,28,9,5,13,53,41,65
2019-12-12,21,21,21,33,33,33,4,4,4,60,60,60
2019-12-11,13,13,13,22,22,22,23,17,29,50,47,53
2019-12-10,11,11,11,15,15,15,44.5,11,78,26.5,7,46
2019-12-09,23,23,23,30,30,30,5,2,8,58,50,66
2019-12-08,20,20,20,25,25,25,14,14,14,85,85,85
2019-12-07,20,20,20,26,26,26,14.5,7,22,50.5,45,56
2019-12-06,"-","-","-","-","-","-",17,17,17,56,56,56
2019-12-05,19,19,19,27,27,27,9,9,9,49,49,49
2019-12-04,"-","-","-","-","-","-",15,9,21,39.5,39,40
2019-12-03,9,9,9,13,13,13,25,17,33,38.5,31,46
2019-12-02,13,13,13,16,16,16,15.5,9,22,29,28,30
2019-12-01,12,12,12,15,15,15,3.5,2,5,38.5,30,47
2019-11-30,11,11,11,16,16,16,11,5,17,36.5,31,42
2019-11-29,11,11,11,15,15,15,7.5,6,9,29,23,35
2019-11-28,14,14,14,17,17,17,10,10,10,30,30,30
2019-11-27,17,17,17,22,22,22,3,3,3,39.5,34,45
2019-11-26,11,11,11,15,15,15,12,10,14,28,27,29
2019-11-25,"-","-","-","-","-","-",2,2,2,24,24,24
2019-11-24,13,13,13,14,14,14,4,4,4,46,46,46
2019-11-23,15,15,15,17,17,17,3,3,3,30,22,38
2019-11-22,17,17,17,21,21,21,3,3,3,36.5,24,49
2019-11-21,16,16,16,20,20,20,2.5,2,3,44,36,52
2019-11-20,13,13,13,15,15,15,10,8,12,42,40,44
2019-11-19,13,13,13,13,13,13,3,3,3,45.5,40,51
2019-11-18,12,12,12,18,18,18,9.5,2,17,43,40,46
2019-11-17,7,7,7,7,7,7,25,25,25,33,33,33
2019-11-15,9,9,9,12,12,12,3,2,4,58.3,56,61
2019-11-14,10,10,10,15,15,15,7,3,11,53,47,59
2019-11-13,3,3,3,3,3,3,7,7,7,70,70,70
2019-11-12,10,10,10,10,10,10,11.5,6,17,42,33,51
2019-11-11,8,8,8,10,10,10,5.5,5,6,49.5,46,53
